 ,X,Y,Circ.,AR,Round,Solidity
1,462.000,641.000,0.000,0.000,0.000,NaN
2,551.500,671.500,0.000,0.000,0.000,NaN
3,637.833,691.500,0.000,0.000,0.000,NaN
4,731.500,707.500,0.000,0.000,0.000,NaN
5,834.500,714.833,0.000,0.000,0.000,NaN
6,931.833,715.500,0.000,0.000,0.000,NaN
7,1023.833,708.167,0.000,0.000,0.000,NaN
8,1110.167,695.500,0.000,0.000,0.000,NaN
9,1188.833,676.833,0.000,0.000,0.000,NaN
10,1278.167,651.500,0.000,0.000,0.000,NaN
