

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 335,35мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               332.880000                 -0.339630
1.645200               328.600000                 -0.597860
2.467700               324.660000                 -0.818210
3.290300               320.830000                 -1.008800
4.112900               316.810000                 -1.218100
4.935500               312.520000                 -1.503400
5.758000               308.290000                 -1.835400
6.580600               304.000000                 -2.173500
7.403200               299.980000                 -2.577400
8.225800               295.960000                 -2.852800
9.048300               291.950000                 -3.127500
9.870900               287.740000                 -3.463700
10.693500               283.900000                 -3.901200
11.516100               279.880000                 -4.214000
12.338600               275.820000                 -4.469600
13.161200               271.320000                 -4.850500
13.983800               267.170000                 -5.380700
14.806400               263.200000                 -5.668000
15.629000               259.400000                 -5.826900
16.451500               255.430000                 -6.308100
17.274100               251.000000                 -6.462300
18.096700               247.070000                 -6.054800
18.919300               243.010000                 -6.726000
19.741800               238.890000                 -7.202400
20.564400               234.500000                 -7.072300
21.387000               230.240000                 -7.372300
22.209600               226.220000                 -7.871000
23.032100               222.090000                 -7.923900
23.854700               218.100000                 -8.246600
24.677300               213.880000                 -8.078400
25.499900               209.980000                 -7.586200
26.322400               205.710000                 -8.497400
27.145000               201.530000                 -8.413600
27.967600               197.620000                 -8.601700
28.790200               193.300000                 -8.117200
29.612700               189.220000                 -8.291600
30.435300               185.160000                 -8.292100
31.257900               181.170000                 -8.296000
32.080500               176.940000                 -8.692900
32.903100               172.800000                 -8.273400
33.725600               168.910000                 -7.990600
34.548200               164.620000                 -7.954400
35.370800               160.500000                 -7.851100
36.193400               156.120000                 -8.348900
37.015900               151.870000                 -8.393900
37.838500               148.000000                 -8.029200
38.661100               144.300000                 -7.917000
39.483700               140.080000                 -8.067300
40.306200               136.040000                 -8.048600
41.128800               131.500000                 -8.252700
41.951400               127.690000                 -8.242600
42.774000               123.680000                 -8.005100
43.596500               119.550000                 -7.947800
44.419100               115.080000                 -8.105200
45.241700               111.160000                 -8.175000
46.064300               107.200000                 -8.224000
46.886900               102.990000                 -8.250000
47.709400               98.984000                 -8.268500
48.532000               94.809000                 -8.351100
49.354600               90.664000                 -8.642300
50.177200               86.676000                 -8.071700
50.999700               82.257000                 -8.160200
51.822300               78.107000                 -8.452400
52.644900               73.926000                 -8.203300
53.467500               69.933000                 -8.490500
54.290000               65.950000                 -8.398600
55.112600               62.057000                 -8.299700
55.935200               57.706000                 -8.173000
56.757800               53.719000                 -8.129500
57.580300               49.511000                 -8.412600
58.402900               45.445000                 -8.777000
59.225500               41.393000                 -8.820600
60.048100               37.035000                 -8.545400
60.870600               32.997000                 -8.226700
61.693200               28.986000                 -8.393200
62.515800               24.989000                 -8.231600
63.338400               20.523000                 -8.720500
64.161000               16.632000                 -8.126100
64.983500               12.571000                 -8.250800
65.806100               8.280400                 -8.570000
66.628700               4.338800                 -8.767700
67.451300               0.274780                 -8.859200
68.273800               -4.269500                 -8.102200
69.096400               -8.151100                 -8.591400
69.919000               -12.243000                 -8.193200
70.741600               -16.168000                 -8.163000
71.564100               -20.241000                 -7.971100
72.386700               -24.123000                 -8.250500
73.209300               -28.425000                 -8.723200
74.031900               -32.390000                 -8.282700
74.854400               -36.541000                 -8.808800
75.677000               -40.178000                 -8.423900
76.499600               -44.785000                 -8.210200
77.322200               -48.828000                 -8.255400
78.144800               -53.031000                 -8.437900
78.967300               -56.896000                 -8.124800
