

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 335,17мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               332.440000                 -0.369390
1.645200               328.490000                 -0.603020
2.467700               324.540000                 -0.816980
3.290300               320.640000                 -1.058700
4.112900               316.710000                 -1.318400
4.935500               312.530000                 -1.576200
5.758000               308.380000                 -1.845000
6.580600               303.980000                 -2.239500
7.403200               299.820000                 -2.608100
8.225800               295.930000                 -2.909600
9.048300               291.880000                 -3.317100
9.870900               287.780000                 -3.736900
10.693500               283.600000                 -4.047500
11.516100               279.640000                 -4.498600
12.338600               275.570000                 -4.921800
13.161200               271.300000                 -5.510300
13.983800               267.270000                 -5.885600
14.806400               263.120000                 -6.068400
15.629000               259.230000                 -6.114300
16.451500               255.230000                 -6.799800
17.274100               250.860000                 -7.035100
18.096700               246.880000                 -6.903300
18.919300               242.560000                 -7.459100
19.741800               238.640000                 -7.996500
20.564400               234.190000                 -8.298200
21.387000               229.960000                 -8.273600
22.209600               226.020000                 -7.691500
23.032100               222.090000                 -8.198900
23.854700               217.930000                 -8.447500
24.677300               213.780000                 -8.619200
25.499900               209.760000                 -8.325000
26.322400               205.620000                 -8.943800
27.145000               201.590000                 -9.492500
27.967600               197.310000                 -8.858200
28.790200               193.070000                 -8.868300
29.612700               188.920000                 -9.129200
30.435300               185.120000                 -8.581500
31.257900               181.130000                 -8.981200
32.080500               176.850000                 -9.044400
32.903100               172.780000                 -9.258600
33.725600               168.590000                 -9.066800
34.548200               164.520000                 -8.710600
35.370800               160.450000                 -8.968400
36.193400               156.180000                 -9.154300
37.015900               151.970000                 -9.370200
37.838500               147.640000                 -9.396300
38.661100               143.710000                 -8.937200
39.483700               139.810000                 -8.898800
40.306200               135.880000                 -9.526700
41.128800               131.830000                 -9.924300
41.951400               127.670000                 -9.480200
42.774000               123.530000                 -9.022200
43.596500               119.220000                 -9.054700
44.419100               115.000000                 -9.316900
45.241700               111.170000                 -9.668100
46.064300               106.850000                 -9.167800
46.886900               103.070000                 -9.372200
47.709400               98.975000                 -9.274100
48.532000               94.689000                 -9.326500
49.354600               90.911000                 -9.617200
50.177200               86.736000                 -9.857200
50.999700               82.469000                 -9.763200
51.822300               77.960000                 -9.314400
52.644900               73.623000                 -9.575100
53.467500               69.762000                 -9.195400
54.290000               65.878000                 -9.225600
55.112600               61.923000                 -9.444500
55.935200               57.619000                 -9.281700
56.757800               53.571000                 -9.262500
57.580300               49.712000                 -9.593500
58.402900               45.461000                 -9.306100
59.225500               41.178000                 -9.599700
60.048100               36.957000                 -8.924100
60.870600               32.872000                 -8.938900
61.693200               28.882000                 -8.985600
62.515800               24.666000                 -8.977000
63.338400               20.713000                 -9.136900
64.161000               16.632000                 -9.657500
64.983500               12.548000                 -9.477700
65.806100               8.476700                 -9.156800
66.628700               4.230200                 -9.157500
67.451300               0.203200                 -9.340700
68.273800               -4.020100                 -9.439600
69.096400               -8.213400                 -9.783400
69.919000               -12.333000                 -10.019000
70.741600               -16.383000                 -9.458000
71.564100               -20.262000                 -8.914300
72.386700               -24.377000                 -8.838300
73.209300               -28.478000                 -9.375900
74.031900               -32.417000                 -8.759100
74.854400               -36.779000                 -9.604400
75.677000               -40.578000                 -9.582500
76.499600               -44.819000                 -9.467400
77.322200               -48.724000                 -8.943800
78.144800               -53.135000                 -9.204000
78.967300               -57.623000                 -9.350100
