

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 336,84мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               334.100000                 -0.310860
1.645200               329.980000                 -0.533180
2.467700               326.100000                 -0.708770
3.290300               322.020000                 -0.895190
4.112900               318.250000                 -1.075900
4.935500               314.180000                 -1.297000
5.758000               309.960000                 -1.542000
6.580600               305.660000                 -1.787400
7.403200               301.410000                 -2.132200
8.225800               297.320000                 -2.459600
9.048300               293.440000                 -2.758400
9.870900               289.250000                 -2.982200
10.693500               285.270000                 -3.280000
11.516100               281.080000                 -3.571900
12.338600               277.210000                 -3.945200
13.161200               273.180000                 -4.240800
13.983800               268.870000                 -4.480400
14.806400               264.680000                 -4.629400
15.629000               260.590000                 -4.975700
16.451500               256.590000                 -5.172400
17.274100               252.690000                 -5.295400
18.096700               248.530000                 -5.338400
18.919300               244.440000                 -5.515000
19.741800               240.350000                 -5.703900
20.564400               236.270000                 -5.934100
21.387000               231.810000                 -6.318700
22.209600               227.460000                 -6.049700
23.032100               223.620000                 -6.214900
23.854700               219.810000                 -5.942200
24.677300               215.820000                 -5.931900
25.499900               211.670000                 -6.410400
26.322400               207.520000                 -6.306400
27.145000               203.400000                 -6.150800
27.967600               199.130000                 -6.392700
28.790200               194.900000                 -6.173600
29.612700               190.770000                 -6.406800
30.435300               186.770000                 -6.189800
31.257900               182.750000                 -6.199700
32.080500               178.770000                 -6.272000
32.903100               174.570000                 -6.481000
33.725600               170.450000                 -6.357600
34.548200               166.130000                 -6.328100
35.370800               162.310000                 -6.544700
36.193400               157.750000                 -6.712400
37.015900               153.400000                 -6.679500
37.838500               149.470000                 -6.909700
38.661100               145.580000                 -6.921000
39.483700               141.680000                 -6.963800
40.306200               137.570000                 -6.681700
41.128800               133.510000                 -6.784000
41.951400               129.440000                 -6.776400
42.774000               125.290000                 -6.837100
43.596500               121.120000                 -6.473700
44.419100               116.970000                 -6.216700
45.241700               112.420000                 -6.600600
46.064300               108.810000                 -6.305200
46.886900               104.670000                 -6.237300
47.709400               100.950000                 -6.428900
48.532000               96.476000                 -6.716600
49.354600               92.329000                 -6.675800
50.177200               88.367000                 -6.536600
50.999700               84.127000                 -6.893500
51.822300               79.858000                 -6.675100
52.644900               75.512000                 -6.814300
53.467500               71.605000                 -6.856800
54.290000               67.626000                 -7.004400
55.112600               63.634000                 -6.835200
55.935200               59.699000                 -7.034600
56.757800               55.291000                 -6.586800
57.580300               51.188000                 -6.570100
58.402900               47.225000                 -6.445100
59.225500               43.011000                 -6.413200
60.048100               38.869000                 -6.915100
60.870600               34.639000                 -6.730400
61.693200               30.575000                 -6.667900
62.515800               26.642000                 -6.864400
63.338400               22.548000                 -6.700200
64.161000               18.230000                 -6.625900
64.983500               14.173000                 -6.370100
65.806100               10.202000                 -6.628400
66.628700               5.795800                 -6.954200
67.451300               1.706400                 -6.879400
68.273800               -2.505400                 -6.976300
69.096400               -6.620200                 -6.720100
69.919000               -10.827000                 -6.728700
70.741600               -14.935000                 -6.794800
71.564100               -18.939000                 -6.770200
72.386700               -22.971000                 -6.562700
73.209300               -27.166000                 -6.800500
74.031900               -31.207000                 -6.958900
74.854400               -35.283000                 -7.431300
75.677000               -39.199000                 -7.080100
76.499600               -43.138000                 -6.385100
77.322200               -47.683000                 -6.033900
78.144800               -51.601000                 -6.627600
78.967300               -55.783000                 -6.807600
