

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 296,53мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               293.920000                 -0.256510
1.645200               289.740000                 -0.416360
2.467700               285.690000                 -0.517440
3.290300               281.580000                 -0.616550
4.112900               277.460000                 -0.730170
4.935500               273.410000                 -0.822150
5.758000               269.250000                 -0.900600
6.580600               265.140000                 -0.961840
7.403200               261.020000                 -1.032900
8.225800               256.910000                 -1.122700
9.048300               253.030000                 -1.186400
9.870900               248.900000                 -1.210200
10.693500               244.850000                 -1.234600
11.516100               240.910000                 -1.278400
12.338600               236.800000                 -1.350400
13.161200               232.470000                 -1.369400
13.983800               228.350000                 -1.384100
14.806400               224.260000                 -1.509300
15.629000               220.270000                 -1.507300
16.451500               216.120000                 -1.425900
17.274100               211.970000                 -1.449800
18.096700               207.920000                 -1.426600
18.919300               203.970000                 -1.371100
19.741800               200.180000                 -1.334200
20.564400               195.880000                 -1.414100
21.387000               191.660000                 -1.487900
22.209600               187.560000                 -1.422000
23.032100               183.630000                 -1.531400
23.854700               179.720000                 -1.444100
24.677300               175.560000                 -1.516700
25.499900               171.180000                 -1.504100
26.322400               167.190000                 -1.494300
27.145000               163.230000                 -1.474800
27.967600               159.050000                 -1.487100
28.790200               154.670000                 -1.498500
29.612700               150.250000                 -1.491600
30.435300               146.300000                 -1.482500
31.257900               142.230000                 -1.499200
32.080500               138.380000                 -1.400100
32.903100               134.100000                 -1.378900
33.725600               130.060000                 -1.463500
34.548200               126.180000                 -1.518600
35.370800               122.030000                 -1.458600
36.193400               117.950000                 -1.423200
37.015900               113.690000                 -1.452200
37.838500               109.520000                 -1.426900
38.661100               105.640000                 -1.407500
39.483700               101.500000                 -1.492100
40.306200               97.538000                 -1.490100
41.128800               93.174000                 -1.500900
41.951400               89.279000                 -1.426900
42.774000               85.159000                 -1.539300
43.596500               81.001000                 -1.394700
44.419100               76.817000                 -1.444600
45.241700               72.337000                 -1.473900
46.064300               68.568000                 -1.428900
46.886900               64.560000                 -1.469400
47.709400               60.514000                 -1.437000
48.532000               56.333000                 -1.533600
49.354600               52.232000                 -1.433300
50.177200               48.228000                 -1.432100
50.999700               44.129000                 -1.415100
51.822300               40.049000                 -1.524000
52.644900               35.572000                 -1.503900
53.467500               31.635000                 -1.469700
54.290000               27.691000                 -1.513200
55.112600               23.691000                 -1.511500
55.935200               19.477000                 -1.444800
56.757800               15.235000                 -1.479500
57.580300               11.077000                 -1.501400
58.402900               7.082000                 -1.467000
59.225500               2.957900                 -1.449500
60.048100               -1.099100                 -1.519600
60.870600               -5.373200                 -1.501400
61.693200               -9.774400                 -1.515200
62.515800               -13.647000                 -1.508000
63.338400               -17.879000                 -1.500400
64.161000               -21.867000                 -1.468000
64.983500               -26.065000                 -1.652200
65.806100               -30.300000                 -1.556000
66.628700               -34.145000                 -1.490600
67.451300               -38.269000                 -1.458600
68.273800               -42.206000                 -1.517400
69.096400               -46.505000                 -1.474400
69.919000               -50.641000                 -1.414300
70.741600               -54.839000                 -1.485900
71.564100               -58.524000                 -1.424900
72.386700               -62.974000                 -1.506600
73.209300               -67.278000                 -1.543700
74.031900               -71.236000                 -1.513500
74.854400               -75.156000                 -1.456400
75.677000               -78.922000                 -1.389800
76.499600               -83.146000                 -1.443100
77.322200               -87.367000                 -1.596600
78.144800               -91.671000                 -1.444400
78.967300               -95.684000                 -1.398600
