

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 297,07мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               294.630000                 -0.232650
1.645200               290.500000                 -0.376520
2.467700               286.190000                 -0.506370
3.290300               282.020000                 -0.605240
4.112900               277.940000                 -0.695740
4.935500               273.820000                 -0.778130
5.758000               269.800000                 -0.847730
6.580600               265.820000                 -0.961350
7.403200               261.580000                 -1.067100
8.225800               257.600000                 -1.105000
9.048300               253.490000                 -1.112100
9.870900               249.470000                 -1.163000
10.693500               245.590000                 -1.234600
11.516100               241.610000                 -1.305600
12.338600               237.420000                 -1.272500
13.161200               233.260000                 -1.348900
13.983800               229.030000                 -1.338100
14.806400               224.650000                 -1.383100
15.629000               220.620000                 -1.431100
16.451500               216.810000                 -1.405700
17.274100               212.650000                 -1.471600
18.096700               208.350000                 -1.505800
18.919300               204.710000                 -1.462600
19.741800               200.520000                 -1.438900
20.564400               196.330000                 -1.507600
21.387000               192.200000                 -1.513200
22.209600               188.120000                 -1.433800
23.032100               184.020000                 -1.454200
23.854700               180.190000                 -1.434500
24.677300               176.010000                 -1.507600
25.499900               171.870000                 -1.434800
26.322400               167.860000                 -1.449000
27.145000               163.880000                 -1.484400
27.967600               159.550000                 -1.520100
28.790200               155.160000                 -1.589700
29.612700               150.850000                 -1.569300
30.435300               146.740000                 -1.626300
31.257900               142.770000                 -1.520100
32.080500               138.800000                 -1.575200
32.903100               134.640000                 -1.545900
33.725600               130.600000                 -1.529400
34.548200               126.480000                 -1.572000
35.370800               122.600000                 -1.510800
36.193400               118.560000                 -1.480800
37.015900               114.240000                 -1.526700
37.838500               110.260000                 -1.526500
38.661100               106.070000                 -1.473900
39.483700               102.300000                 -1.500400
40.306200               97.991000                 -1.446100
41.128800               93.888000                 -1.495300
41.951400               89.805000                 -1.464500
42.774000               85.637000                 -1.493500
43.596500               81.652000                 -1.473900
44.419100               77.230000                 -1.490800
45.241700               72.750000                 -1.492600
46.064300               68.991000                 -1.504900
46.886900               65.109000                 -1.536300
47.709400               61.022000                 -1.551300
48.532000               56.885000                 -1.553300
49.354600               52.744000                 -1.505600
50.177200               48.969000                 -1.454900
50.999700               44.780000                 -1.516400
51.822300               40.439000                 -1.464000
52.644900               36.225000                 -1.548400
53.467500               32.290000                 -1.500400
54.290000               28.203000                 -1.526000
55.112600               24.079000                 -1.544900
55.935200               20.054000                 -1.568100
56.757800               15.898000                 -1.534600
57.580300               11.714000                 -1.527200
58.402900               7.689300                 -1.447800
59.225500               3.646000                 -1.440700
60.048100               -0.471050                 -1.451700
60.870600               -4.759000                 -1.494000
61.693200               -9.067800                 -1.397600
62.515800               -13.180000                 -1.500200
63.338400               -17.286000                 -1.561900
64.161000               -21.403000                 -1.531200
64.983500               -25.529000                 -1.569000
65.806100               -29.554000                 -1.535600
66.628700               -33.733000                 -1.610800
67.451300               -37.645000                 -1.571700
68.273800               -41.811000                 -1.535100
69.096400               -45.773000                 -1.523100
69.919000               -50.126000                 -1.510800
70.741600               -54.271000                 -1.528200
71.564100               -58.406000                 -1.562400
72.386700               -62.378000                 -1.573500
73.209300               -66.483000                 -1.602000
74.031900               -70.684000                 -1.624900
74.854400               -74.655000                 -1.579400
75.677000               -78.472000                 -1.553800
76.499600               -82.608000                 -1.587200
77.322200               -86.870000                 -1.549400
78.144800               -91.165000                 -1.488600
78.967300               -95.310000                 -1.539500
