

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 297мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               294.470000                 -0.261670
1.645200               290.310000                 -0.455710
2.467700               286.080000                 -0.621470
3.290300               281.930000                 -0.793130
4.112900               278.020000                 -0.929870
4.935500               273.860000                 -1.053800
5.758000               269.720000                 -1.201400
6.580600               265.800000                 -1.320400
7.403200               261.700000                 -1.544200
8.225800               257.600000                 -1.631500
9.048300               253.730000                 -1.779300
9.870900               249.530000                 -1.901000
10.693500               245.600000                 -1.781000
11.516100               241.790000                 -2.010200
12.338600               237.540000                 -2.023500
13.161200               233.130000                 -2.187300
13.983800               228.890000                 -2.227200
14.806400               224.810000                 -2.282000
15.629000               220.830000                 -2.357300
16.451500               216.760000                 -2.436900
17.274100               212.600000                 -2.454100
18.096700               208.540000                 -2.503600
18.919300               204.480000                 -2.403500
19.741800               200.660000                 -2.463000
20.564400               196.350000                 -2.456400
21.387000               191.980000                 -2.642300
22.209600               188.000000                 -2.653100
23.032100               184.050000                 -2.504300
23.854700               180.110000                 -2.628500
24.677300               175.950000                 -2.595600
25.499900               171.620000                 -2.494200
26.322400               167.570000                 -2.647500
27.145000               163.570000                 -2.637400
27.967600               159.300000                 -2.642300
28.790200               155.050000                 -2.740400
29.612700               150.710000                 -2.672300
30.435300               146.920000                 -2.675000
31.257900               142.720000                 -2.577900
32.080500               138.790000                 -2.650200
32.903100               134.690000                 -2.507500
33.725600               130.510000                 -2.608600
34.548200               126.480000                 -2.565300
35.370800               122.400000                 -2.495000
36.193400               118.250000                 -2.606900
37.015900               114.020000                 -2.657800
37.838500               110.050000                 -2.645500
38.661100               106.000000                 -2.534300
39.483700               101.890000                 -2.564300
40.306200               97.912000                 -2.584000
41.128800               93.659000                 -2.598500
41.951400               89.542000                 -2.563100
42.774000               85.480000                 -2.755900
43.596500               81.379000                 -2.703800
44.419100               76.964000                 -2.667400
45.241700               72.859000                 -2.654300
46.064300               68.707000                 -2.620600
46.886900               64.747000                 -2.639600
47.709400               60.812000                 -2.692200
48.532000               56.681000                 -2.590400
49.354600               52.599000                 -2.426600
50.177200               48.526000                 -2.551100
50.999700               44.413000                 -2.620900
51.822300               40.240000                 -2.596000
52.644900               35.955000                 -2.607600
53.467500               31.905000                 -2.642800
54.290000               27.852000                 -2.558700
55.112600               23.834000                 -2.660200
55.935200               19.671000                 -2.684300
56.757800               15.517000                 -2.704500
57.580300               11.562000                 -2.682600
58.402900               7.282900                 -2.641600
59.225500               3.242000                 -2.586900
60.048100               -0.764310                 -2.608600
60.870600               -5.084600                 -2.661000
61.693200               -9.160200                 -2.626500
62.515800               -13.333000                 -2.754200
63.338400               -17.448000                 -2.660000
64.161000               -21.535000                 -2.659700
64.983500               -25.640000                 -2.731800
65.806100               -29.630000                 -2.670100
66.628700               -33.893000                 -2.725700
67.451300               -37.867000                 -2.554200
68.273800               -41.924000                 -2.574700
69.096400               -46.083000                 -2.746600
69.919000               -50.246000                 -2.747800
70.741600               -54.266000                 -2.708700
71.564100               -58.328000                 -2.639800
72.386700               -62.452000                 -2.565600
73.209300               -66.532000                 -2.738400
74.031900               -70.640000                 -2.623600
74.854400               -74.736000                 -2.676700
75.677000               -78.377000                 -2.589700
76.499600               -82.795000                 -2.660700
77.322200               -87.004000                 -2.552800
78.144800               -91.161000                 -2.573400
78.967300               -95.354000                 -2.635200
