

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 295,96мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               293.470000                 -0.259460
1.645200               289.170000                 -0.423250
2.467700               285.110000                 -0.525060
3.290300               280.900000                 -0.649260
4.112900               276.930000                 -0.717380
4.935500               272.740000                 -0.774680
5.758000               268.620000                 -0.833460
6.580600               264.780000                 -0.918060
7.403200               260.410000                 -1.070000
8.225800               256.380000                 -1.126400
9.048300               252.490000                 -1.234100
9.870900               248.310000                 -1.246600
10.693500               244.030000                 -1.264100
11.516100               240.330000                 -1.266100
12.338600               236.300000                 -1.246600
13.161200               232.080000                 -1.374000
13.983800               227.800000                 -1.404500
14.806400               223.590000                 -1.427100
15.629000               219.710000                 -1.463300
16.451500               215.480000                 -1.418300
17.274100               211.540000                 -1.476800
18.096700               207.520000                 -1.505100
18.919300               203.470000                 -1.546200
19.741800               199.540000                 -1.457900
20.564400               195.260000                 -1.376700
21.387000               191.070000                 -1.474600
22.209600               186.950000                 -1.480800
23.032100               183.000000                 -1.410200
23.854700               179.050000                 -1.408700
24.677300               174.890000                 -1.354600
25.499900               170.590000                 -1.348700
26.322400               166.680000                 -1.312800
27.145000               162.650000                 -1.344700
27.967600               158.390000                 -1.352400
28.790200               153.940000                 -1.495300
29.612700               149.650000                 -1.442600
30.435300               145.670000                 -1.473400
31.257900               141.530000                 -1.487400
32.080500               137.670000                 -1.478300
32.903100               133.630000                 -1.445800
33.725600               129.550000                 -1.454900
34.548200               125.450000                 -1.410700
35.370800               121.470000                 -1.509300
36.193400               117.480000                 -1.434000
37.015900               112.890000                 -1.437200
37.838500               108.960000                 -1.387600
38.661100               104.940000                 -1.376700
39.483700               101.260000                 -1.436700
40.306200               97.023000                 -1.461800
41.128800               92.851000                 -1.389000
41.951400               88.778000                 -1.399600
42.774000               84.709000                 -1.453200
43.596500               80.513000                 -1.441200
44.419100               75.983000                 -1.459600
45.241700               71.827000                 -1.432800
46.064300               67.996000                 -1.297300
46.886900               64.056000                 -1.301700
47.709400               59.976000                 -1.333400
48.532000               55.728000                 -1.354600
49.354600               51.846000                 -1.404800
50.177200               47.697000                 -1.416300
50.999700               43.612000                 -1.347700
51.822300               39.231000                 -1.371100
52.644900               35.163000                 -1.399600
53.467500               31.090000                 -1.373300
54.290000               27.240000                 -1.397600
55.112600               23.329000                 -1.338100
55.935200               18.824000                 -1.412900
56.757800               14.732000                 -1.484200
57.580300               10.663000                 -1.456200
58.402900               6.701000                 -1.434300
59.225500               2.514600                 -1.373000
60.048100               -1.761800                 -1.478500
60.870600               -6.024400                 -1.371100
61.693200               -10.188000                 -1.336400
62.515800               -14.349000                 -1.354100
63.338400               -18.297000                 -1.413100
64.161000               -22.352000                 -1.334400
64.983500               -26.610000                 -1.369100
65.806100               -30.635000                 -1.393900
66.628700               -34.699000                 -1.391000
67.451300               -38.746000                 -1.316200
68.273800               -42.741000                 -1.347000
69.096400               -46.861000                 -1.342300
69.919000               -51.075000                 -1.392700
70.741600               -55.312000                 -1.468200
71.564100               -59.390000                 -1.479800
72.386700               -63.454000                 -1.393500
73.209300               -67.585000                 -1.454000
74.031900               -71.623000                 -1.479500
74.854400               -75.667000                 -1.488900
75.677000               -79.326000                 -1.518100
76.499600               -83.695000                 -1.422500
77.322200               -87.965000                 -1.378000
78.144800               -92.107000                 -1.365200
78.967300               -96.273000                 -1.528000
