

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 296,2мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               293.570000                 -0.272250
1.645200               289.300000                 -0.474400
2.467700               285.360000                 -0.581140
3.290300               281.160000                 -0.714190
4.112900               277.010000                 -0.875020
4.935500               273.090000                 -0.968230
5.758000               269.030000                 -1.071800
6.580600               264.790000                 -1.239200
7.403200               260.730000                 -1.315500
8.225800               256.630000                 -1.422200
9.048300               252.740000                 -1.510500
9.870900               248.890000                 -1.607900
10.693500               244.840000                 -1.644300
11.516100               240.750000                 -1.636200
12.338600               236.850000                 -1.735800
13.161200               232.530000                 -1.882600
13.983800               228.100000                 -1.891200
14.806400               224.000000                 -1.857000
15.629000               220.110000                 -1.929300
16.451500               216.120000                 -1.892700
17.274100               212.030000                 -2.024000
18.096700               208.030000                 -1.970900
18.919300               203.880000                 -1.977800
19.741800               199.850000                 -1.993000
20.564400               195.580000                 -2.090200
21.387000               191.090000                 -2.032900
22.209600               187.440000                 -2.104400
23.032100               183.390000                 -1.972600
23.854700               179.370000                 -2.071000
24.677300               175.250000                 -1.949000
25.499900               171.110000                 -1.982200
26.322400               167.110000                 -2.037000
27.145000               162.820000                 -2.090200
27.967600               158.670000                 -2.101500
28.790200               154.090000                 -2.344000
29.612700               149.910000                 -2.121900
30.435300               146.080000                 -2.158500
31.257900               142.050000                 -1.940400
32.080500               138.270000                 -2.098500
32.903100               134.050000                 -1.981200
33.725600               129.990000                 -2.017600
34.548200               125.850000                 -2.334100
35.370800               121.810000                 -2.155800
36.193400               117.510000                 -2.109600
37.015900               113.290000                 -2.173800
37.838500               109.270000                 -2.153600
38.661100               105.380000                 -2.107900
39.483700               101.380000                 -2.131200
40.306200               97.148000                 -2.229600
41.128800               92.922000                 -2.102000
41.951400               88.914000                 -2.149200
42.774000               84.841000                 -2.058500
43.596500               80.412000                 -2.176700
44.419100               76.371000                 -2.215800
45.241700               71.984000                 -2.216800
46.064300               67.940000                 -2.075900
46.886900               64.299000                 -2.160300
47.709400               60.274000                 -2.093400
48.532000               55.952000                 -2.215800
49.354600               51.825000                 -2.249800
50.177200               47.819000                 -2.150200
50.999700               43.552000                 -2.128300
51.822300               39.492000                 -2.050100
52.644900               35.232000                 -2.124600
53.467500               31.221000                 -2.119700
54.290000               27.102000                 -2.148500
55.112600               23.246000                 -2.142100
55.935200               19.027000                 -2.074700
56.757800               14.810000                 -1.981000
57.580300               10.654000                 -2.182900
58.402900               6.613200                 -2.244100
59.225500               2.470700                 -2.243400
60.048100               -1.685600                 -2.161000
60.870600               -5.779700                 -2.126600
61.693200               -9.989100                 -2.081300
62.515800               -14.178000                 -2.121200
63.338400               -18.193000                 -2.100000
64.161000               -22.280000                 -2.117000
64.983500               -26.587000                 -2.072700
65.806100               -30.570000                 -2.118500
66.628700               -34.530000                 -2.152100
67.451300               -38.608000                 -2.165200
68.273800               -42.651000                 -2.123900
69.096400               -46.888000                 -2.089900
69.919000               -50.879000                 -2.217300
70.741600               -55.102000                 -2.108400
71.564100               -59.110000                 -2.141600
72.386700               -63.255000                 -2.166700
73.209300               -67.465000                 -2.185600
74.031900               -71.434000                 -2.049600
74.854400               -75.302000                 -2.091400
75.677000               -79.269000                 -1.991500
76.499600               -83.541000                 -2.060900
77.322200               -87.736000                 -2.177000
78.144800               -92.029000                 -2.289600
78.967300               -96.026000                 -2.213400
