

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 324,29мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               321.570000                 -0.320690
1.645200               317.810000                 -0.499240
2.467700               313.470000                 -0.681480
3.290300               309.590000                 -0.891750
4.112900               305.440000                 -1.030200
4.935500               301.170000                 -1.244400
5.758000               297.080000                 -1.412600
6.580600               292.940000                 -1.665900
7.403200               288.990000                 -1.807600
8.225800               284.770000                 -1.963800
9.048300               280.980000                 -2.143100
9.870900               276.780000                 -2.387000
10.693500               272.950000                 -2.554200
11.516100               268.770000                 -2.707000
12.338600               264.380000                 -2.865600
13.161200               260.380000                 -3.079500
13.983800               256.350000                 -3.175700
14.806400               252.380000                 -3.244800
15.629000               248.240000                 -3.363400
16.451500               244.060000                 -3.593300
17.274100               240.280000                 -3.626000
18.096700               236.130000                 -3.568700
18.919300               231.570000                 -3.825500
19.741800               227.320000                 -4.004500
20.564400               223.530000                 -3.974000
21.387000               219.360000                 -3.894600
22.209600               215.480000                 -3.911800
23.032100               211.370000                 -3.921600
23.854700               207.280000                 -4.123800
24.677300               203.000000                 -4.214300
25.499900               198.900000                 -4.038400
26.322400               194.770000                 -4.175700
27.145000               190.510000                 -4.068200
27.967600               186.500000                 -4.130700
28.790200               182.630000                 -4.128700
29.612700               178.470000                 -4.113500
30.435300               174.100000                 -4.296900
31.257900               170.100000                 -4.388400
32.080500               166.060000                 -3.959500
32.903100               162.060000                 -3.975200
33.725600               157.670000                 -4.319500
34.548200               153.270000                 -4.234000
35.370800               149.370000                 -4.354000
36.193400               145.060000                 -4.242300
37.015900               141.410000                 -4.348600
37.838500               137.190000                 -4.298600
38.661100               133.150000                 -4.061300
39.483700               129.170000                 -3.969600
40.306200               124.880000                 -4.137100
41.128800               120.940000                 -4.137800
41.951400               116.590000                 -4.197300
42.774000               112.490000                 -4.199000
43.596500               108.530000                 -4.017300
44.419100               104.480000                 -4.165100
45.241700               100.510000                 -4.089600
46.064300               96.137000                 -4.382500
46.886900               92.179000                 -4.295000
47.709400               88.096000                 -4.116600
48.532000               83.931000                 -4.173700
49.354600               79.518000                 -4.340700
50.177200               75.323000                 -4.244300
50.999700               71.118000                 -4.394500
51.822300               67.428000                 -4.193900
52.644900               63.463000                 -4.328400
53.467500               59.085000                 -4.316600
54.290000               55.056000                 -4.122800
55.112600               50.973000                 -4.147900
55.935200               46.884000                 -4.223100
56.757800               42.614000                 -4.226100
57.580300               38.456000                 -4.445900
58.402900               34.364000                 -4.106800
59.225500               30.572000                 -4.223400
60.048100               26.407000                 -4.068200
60.870600               22.153000                 -4.225800
61.693200               17.932000                 -4.306000
62.515800               13.864000                 -4.308500
63.338400               9.915200                 -4.242800
64.161000               5.724200                 -4.384000
64.983500               1.671800                 -4.056100
65.806100               -2.364500                 -4.045600
66.628700               -6.696400                 -4.153100
67.451300               -10.753000                 -4.219900
68.273800               -14.956000                 -4.334100
69.096400               -18.965000                 -4.248700
69.919000               -23.038000                 -4.110000
70.741600               -27.317000                 -4.131600
71.564100               -31.235000                 -4.219500
72.386700               -35.290000                 -4.131200
73.209300               -39.282000                 -4.098000
74.031900               -43.346000                 -4.097200
74.854400               -47.614000                 -4.166800
75.677000               -51.781000                 -4.173200
76.499600               -55.651000                 -4.292500
77.322200               -59.836000                 -4.240800
78.144800               -64.209000                 -4.238900
78.967300               -67.950000                 -4.102600
