

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 322,96мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               320.510000                 -0.332010
1.645200               316.410000                 -0.589250
2.467700               312.350000                 -0.820430
3.290300               308.190000                 -1.082300
4.112900               303.930000                 -1.384300
4.935500               299.840000                 -1.616500
5.758000               295.900000                 -1.889300
6.580600               291.700000                 -2.270900
7.403200               287.770000                 -2.448000
8.225800               283.510000                 -2.812200
9.048300               279.800000                 -3.084700
9.870900               275.800000                 -3.316900
10.693500               271.640000                 -3.597000
11.516100               267.210000                 -3.792500
12.338600               263.480000                 -4.198500
13.161200               259.190000                 -4.521200
13.983800               255.170000                 -4.630900
14.806400               251.030000                 -4.997800
15.629000               246.930000                 -5.254800
16.451500               242.860000                 -5.024600
17.274100               239.010000                 -5.309200
18.096700               234.580000                 -5.935600
18.919300               230.180000                 -5.846300
19.741800               226.020000                 -5.680000
20.564400               222.380000                 -6.118000
21.387000               218.210000                 -5.815500
22.209600               214.210000                 -6.107200
23.032100               210.010000                 -6.185200
23.854700               206.040000                 -6.254000
24.677300               201.910000                 -6.356100
25.499900               197.660000                 -6.541500
26.322400               193.400000                 -6.411200
27.145000               189.330000                 -6.175800
27.967600               185.260000                 -6.290900
28.790200               181.190000                 -6.624900
29.612700               176.970000                 -6.416900
30.435300               173.070000                 -6.108500
31.257900               169.000000                 -6.492100
32.080500               164.860000                 -6.691800
32.903100               160.550000                 -6.511800
33.725600               156.360000                 -6.799500
34.548200               151.940000                 -7.070500
35.370800               147.930000                 -7.017900
36.193400               144.140000                 -6.711000
37.015900               140.270000                 -6.477800
37.838500               135.960000                 -6.543800
38.661100               131.710000                 -7.102300
39.483700               127.810000                 -6.776200
40.306200               123.870000                 -6.475100
41.128800               119.600000                 -6.865200
41.951400               115.340000                 -6.436000
42.774000               111.260000                 -6.643300
43.596500               107.350000                 -6.893500
44.419100               103.320000                 -6.390300
45.241700               99.233000                 -6.829800
46.064300               94.982000                 -6.921200
46.886900               90.916000                 -6.462100
47.709400               86.621000                 -6.912400
48.532000               82.670000                 -6.908200
49.354600               78.285000                 -6.677000
50.177200               74.136000                 -6.804200
50.999700               70.069000                 -6.523800
51.822300               66.022000                 -6.616800
52.644900               62.075000                 -6.810300
53.467500               57.988000                 -6.637700
54.290000               53.816000                 -6.665000
55.112600               49.712000                 -6.401100
55.935200               45.642000                 -6.584800
56.757800               41.557000                 -6.828300
57.580300               37.216000                 -6.845300
58.402900               33.193000                 -6.773500
59.225500               29.131000                 -6.991800
60.048100               24.931000                 -6.671400
60.870600               20.911000                 -6.990100
61.693200               16.688000                 -6.612100
62.515800               12.732000                 -6.547900
63.338400               8.608300                 -6.560000
64.161000               4.327200                 -6.814500
64.983500               0.046180                 -6.504900
65.806100               -3.937000                 -6.964300
66.628700               -8.225000                 -7.012700
67.451300               -12.252000                 -6.938700
68.273800               -16.270000                 -6.580400
69.096400               -20.251000                 -6.583600
69.919000               -24.492000                 -6.564200
70.741600               -28.827000                 -6.599800
71.564100               -32.741000                 -6.620500
72.386700               -36.754000                 -6.761100
73.209300               -40.790000                 -6.781100
74.031900               -44.884000                 -6.391300
74.854400               -49.158000                 -6.684900
75.677000               -53.183000                 -7.001700
76.499600               -57.252000                 -6.770000
77.322200               -61.256000                 -6.708800
78.144800               -65.617000                 -6.947100
78.967300               -69.547000                 -7.027500
