

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 322,62мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               320.140000                 -0.336430
1.645200               315.990000                 -0.543750
2.467700               312.050000                 -0.710500
3.290300               307.950000                 -0.883140
4.112900               303.740000                 -1.046700
4.935500               299.590000                 -1.252500
5.758000               295.450000                 -1.405700
6.580600               291.360000                 -1.600300
7.403200               287.280000                 -1.782300
8.225800               283.160000                 -1.961100
9.048300               279.230000                 -2.116500
9.870900               275.230000                 -2.247600
10.693500               271.410000                 -2.406200
11.516100               266.910000                 -2.646000
12.338600               262.710000                 -2.820600
13.161200               258.580000                 -2.971100
13.983800               254.810000                 -2.989500
14.806400               250.670000                 -3.250000
15.629000               246.690000                 -3.327900
16.451500               242.690000                 -3.282900
17.274100               238.650000                 -3.313700
18.096700               234.380000                 -3.515800
18.919300               229.970000                 -3.534300
19.741800               225.910000                 -3.759300
20.564400               221.750000                 -3.698600
21.387000               218.000000                 -3.601400
22.209600               213.770000                 -3.532800
23.032100               209.640000                 -3.509000
23.854700               205.590000                 -3.531100
24.677300               201.650000                 -3.617600
25.499900               197.350000                 -3.738400
26.322400               193.250000                 -3.495400
27.145000               188.900000                 -3.618600
27.967600               185.060000                 -3.797200
28.790200               180.920000                 -3.966900
29.612700               177.000000                 -3.788800
30.435300               172.750000                 -3.787800
31.257900               168.720000                 -3.721700
32.080500               164.540000                 -3.692200
32.903100               160.330000                 -3.692400
33.725600               156.070000                 -3.903400
34.548200               151.740000                 -3.986100
35.370800               147.590000                 -3.841700
36.193400               143.960000                 -3.653800
37.015900               139.800000                 -3.822300
37.838500               135.780000                 -3.606100
38.661100               131.740000                 -3.451600
39.483700               127.620000                 -3.671000
40.306200               123.440000                 -3.782200
41.128800               119.410000                 -3.915000
41.951400               114.980000                 -3.818100
42.774000               110.800000                 -4.028600
43.596500               106.950000                 -4.077300
44.419100               103.120000                 -3.884700
45.241700               98.981000                 -3.621100
46.064300               94.617000                 -3.558900
46.886900               90.775000                 -3.698600
47.709400               86.566000                 -3.605900
48.532000               82.335000                 -3.595300
49.354600               77.999000                 -3.645700
50.177200               73.842000                 -3.636300
50.999700               69.751000                 -3.606300
51.822300               66.132000                 -3.739100
52.644900               61.837000                 -3.621300
53.467500               57.686000                 -3.803600
54.290000               53.492000                 -3.608800
55.112600               49.588000                 -3.631400
55.935200               45.420000                 -3.573400
56.757800               41.236000                 -3.649600
57.580300               37.033000                 -3.597700
58.402900               32.833000                 -3.795500
59.225500               29.009000                 -3.748000
60.048100               24.820000                 -3.710900
60.870600               20.664000                 -3.758800
61.693200               16.552000                 -3.738600
62.515800               12.444000                 -3.668600
63.338400               8.365800                 -3.451200
64.161000               4.158700                 -3.469100
64.983500               0.138550                 -3.604900
65.806100               -4.131000                 -3.758800
66.628700               -8.197300                 -3.621100
67.451300               -12.543000                 -3.632200
68.273800               -16.579000                 -3.593100
69.096400               -20.500000                 -3.691900
69.919000               -24.601000                 -3.989000
70.741600               -28.801000                 -3.796400
71.564100               -33.105000                 -3.626000
72.386700               -36.929000                 -3.947700
73.209300               -40.811000                 -3.894100
74.031900               -44.951000                 -4.072900
74.854400               -49.283000                 -3.909300
75.677000               -53.462000                 -3.827200
76.499600               -57.522000                 -3.458000
77.322200               -61.581000                 -3.771400
78.144800               -65.767000                 -3.721400
78.967300               -69.767000                 -3.790300
