

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 323,93мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               321.430000                 -0.319960
1.645200               317.360000                 -0.544740
2.467700               313.410000                 -0.758940
3.290300               309.260000                 -0.988150
4.112900               305.070000                 -1.233300
4.935500               300.770000                 -1.478300
5.758000               296.690000                 -1.683400
6.580600               292.670000                 -1.899300
7.403200               288.690000                 -2.125300
8.225800               284.520000                 -2.473100
9.048300               280.550000                 -2.573700
9.870900               276.600000                 -2.930300
10.693500               272.550000                 -3.156300
11.516100               268.410000                 -3.468100
12.338600               264.180000                 -3.872700
13.161200               260.110000                 -4.152300
13.983800               256.130000                 -4.156500
14.806400               251.970000                 -3.972300
15.629000               248.030000                 -4.154500
16.451500               243.820000                 -4.483100
17.274100               239.760000                 -4.718700
18.096700               235.540000                 -4.484100
18.919300               231.410000                 -4.898500
19.741800               227.160000                 -5.163600
20.564400               222.920000                 -5.166500
21.387000               218.940000                 -5.443700
22.209600               215.030000                 -5.226300
23.032100               210.830000                 -5.302300
23.854700               206.860000                 -5.433400
24.677300               202.760000                 -5.276200
25.499900               198.810000                 -5.361800
26.322400               194.540000                 -5.600100
27.145000               190.070000                 -5.094500
27.967600               186.290000                 -5.503700
28.790200               182.470000                 -6.072800
29.612700               178.480000                 -5.499500
30.435300               174.040000                 -5.185700
31.257900               169.930000                 -5.311400
32.080500               165.800000                 -5.323400
32.903100               161.830000                 -5.189400
33.725600               157.540000                 -5.413700
34.548200               153.110000                 -5.431100
35.370800               148.970000                 -5.396700
36.193400               145.070000                 -5.286800
37.015900               141.120000                 -5.722800
37.838500               136.930000                 -6.093400
38.661100               132.930000                 -6.262400
39.483700               128.910000                 -5.754600
40.306200               124.980000                 -5.563000
41.128800               120.590000                 -5.374800
41.951400               116.390000                 -5.318500
42.774000               112.250000                 -5.511600
43.596500               108.460000                 -5.357100
44.419100               104.300000                 -5.357900
45.241700               100.310000                 -5.519200
46.064300               96.061000                 -5.508100
46.886900               91.830000                 -5.538400
47.709400               87.803000                 -5.362300
48.532000               83.635000                 -5.141400
49.354600               79.382000                 -5.150300
50.177200               75.089000                 -5.213300
50.999700               70.817000                 -5.042100
51.822300               67.019000                 -5.209300
52.644900               63.126000                 -5.363500
53.467500               59.103000                 -5.107500
54.290000               54.917000                 -5.529500
55.112600               50.862000                 -5.821700
55.935200               46.801000                 -5.526300
56.757800               42.651000                 -5.588100
57.580300               38.273000                 -5.702900
58.402900               34.339000                 -5.411500
59.225500               30.182000                 -5.757500
60.048100               26.090000                 -5.807900
60.870600               22.149000                 -5.489700
61.693200               17.745000                 -5.280900
62.515800               13.730000                 -5.160100
63.338400               9.601200                 -5.228300
64.161000               5.581100                 -5.405300
64.983500               1.510200                 -5.327600
65.806100               -2.671600                 -5.481300
66.628700               -6.959600                 -5.572600
67.451300               -11.123000                 -5.823900
68.273800               -15.173000                 -5.433100
69.096400               -19.426000                 -5.381700
69.919000               -23.380000                 -5.265600
70.741600               -27.453000                 -5.265900
71.564100               -31.487000                 -5.107500
72.386700               -35.565000                 -5.454300
73.209300               -39.589000                 -5.409500
74.031900               -43.656000                 -5.427000
74.854400               -47.810000                 -5.465300
75.677000               -52.232000                 -5.303800
76.499600               -56.407000                 -5.485800
77.322200               -60.397000                 -5.214500
78.144800               -64.396000                 -5.110000
78.967300               -68.615000                 -5.471500
