

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 314,51мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               312.110000                 -0.250600
1.645200               307.960000                 -0.442180
2.467700               303.740000                 -0.606960
3.290300               299.660000                 -0.737060
4.112900               295.530000                 -0.891010
4.935500               291.250000                 -1.038300
5.758000               287.270000                 -1.222300
6.580600               283.210000                 -1.370800
7.403200               279.310000                 -1.486400
8.225800               275.350000                 -1.607700
9.048300               271.230000                 -1.805600
9.870900               266.960000                 -1.937200
10.693500               262.790000                 -1.990300
11.516100               259.090000                 -2.063600
12.338600               255.010000                 -2.225700
13.161200               250.800000                 -2.276600
13.983800               246.770000                 -2.391200
14.806400               242.680000                 -2.406700
15.629000               238.620000                 -2.564100
16.451500               234.340000                 -2.608800
17.274100               229.720000                 -2.606100
18.096700               225.870000                 -2.771900
18.919300               221.680000                 -2.726200
19.741800               218.000000                 -2.760100
20.564400               213.840000                 -2.747300
21.387000               209.680000                 -2.835100
22.209600               205.760000                 -2.822100
23.032100               201.660000                 -2.754200
23.854700               197.730000                 -2.865800
24.677300               193.320000                 -2.943300
25.499900               188.980000                 -2.900800
26.322400               185.120000                 -2.949200
27.145000               181.380000                 -2.943100
27.967600               177.270000                 -2.895800
28.790200               172.860000                 -2.980400
29.612700               168.820000                 -3.047300
30.435300               164.710000                 -2.985100
31.257900               160.380000                 -2.821800
32.080500               156.280000                 -2.993000
32.903100               151.820000                 -3.098000
33.725600               147.760000                 -2.828500
34.548200               143.700000                 -2.834800
35.370800               139.810000                 -2.823300
36.193400               135.960000                 -3.067800
37.015900               131.790000                 -2.972300
37.838500               127.780000                 -2.994700
38.661100               123.500000                 -2.846700
39.483700               119.520000                 -2.860900
40.306200               115.060000                 -2.848100
41.128800               111.110000                 -3.004300
41.951400               107.130000                 -3.046900
42.774000               103.100000                 -2.855300
43.596500               98.981000                 -2.948200
44.419100               94.717000                 -3.003300
45.241700               90.886000                 -2.928100
46.064300               86.672000                 -2.884800
46.886900               82.495000                 -2.844400
47.709400               78.059000                 -2.740400
48.532000               73.847000                 -2.872200
49.354600               69.802000                 -2.929000
50.177200               66.058000                 -2.950900
50.999700               62.302000                 -2.992500
51.822300               57.676000                 -2.944300
52.644900               53.869000                 -2.934700
53.467500               49.706000                 -2.682400
54.290000               45.611000                 -2.814900
55.112600               41.356000                 -2.933700
55.935200               37.213000                 -2.946500
56.757800               33.050000                 -3.018300
57.580300               29.085000                 -2.873700
58.402900               25.155000                 -2.784400
59.225500               20.916000                 -2.889000
60.048100               16.787000                 -2.935200
60.870600               12.631000                 -2.976300
61.693200               8.458200                 -3.067500
62.515800               4.366500                 -3.106400
63.338400               0.334820                 -3.161000
64.161000               -3.904700                 -3.171300
64.983500               -8.211100                 -3.103200
65.806100               -12.455000                 -3.055700
66.628700               -16.538000                 -3.065300
67.451300               -20.387000                 -2.942600
68.273800               -24.548000                 -2.913500
69.096400               -28.898000                 -2.973100
69.919000               -32.761000                 -2.923400
70.741600               -36.962000                 -3.083000
71.564100               -40.601000                 -2.981200
72.386700               -44.988000                 -2.937400
73.209300               -49.001000                 -2.862200
74.031900               -53.155000                 -2.903000
74.854400               -57.344000                 -2.965900
75.677000               -61.484000                 -2.925400
76.499600               -65.601000                 -2.811700
77.322200               -69.594000                 -2.830900
78.144800               -73.732000                 -2.950700
78.967300               -77.523000                 -2.836600
