

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 314,41мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               311.960000                 -0.271260
1.645200               307.880000                 -0.467270
2.467700               303.660000                 -0.635490
3.290300               299.530000                 -0.853870
4.112900               295.230000                 -1.020100
4.935500               291.270000                 -1.186600
5.758000               287.160000                 -1.323800
6.580600               283.080000                 -1.568100
7.403200               279.110000                 -1.724200
8.225800               275.220000                 -1.987100
9.048300               271.190000                 -2.018100
9.870900               266.850000                 -2.063400
10.693500               262.870000                 -2.408700
11.516100               258.790000                 -2.449500
12.338600               254.910000                 -2.576400
13.161200               250.650000                 -2.746800
13.983800               246.460000                 -2.807100
14.806400               242.520000                 -2.789100
15.629000               238.520000                 -2.696900
16.451500               234.270000                 -2.537300
17.274100               229.850000                 -2.850800
18.096700               225.860000                 -2.873000
18.919300               221.820000                 -2.708200
19.741800               217.790000                 -2.846700
20.564400               213.620000                 -2.892100
21.387000               209.650000                 -2.848100
22.209600               205.670000                 -3.034300
23.032100               201.670000                 -3.085200
23.854700               197.370000                 -3.023000
24.677300               193.020000                 -3.149400
25.499900               189.020000                 -3.165600
26.322400               185.040000                 -3.258100
27.145000               181.060000                 -3.288300
27.967600               177.020000                 -3.402500
28.790200               172.630000                 -3.443000
29.612700               168.730000                 -3.327200
30.435300               164.590000                 -3.702000
31.257900               160.230000                 -3.399500
32.080500               156.040000                 -3.430500
32.903100               151.710000                 -3.917200
33.725600               147.720000                 -3.561600
34.548200               143.740000                 -3.555400
35.370800               139.650000                 -3.607800
36.193400               135.810000                 -3.390200
37.015900               131.550000                 -3.621100
37.838500               127.640000                 -3.684100
38.661100               123.520000                 -3.370000
39.483700               119.330000                 -3.412000
40.306200               114.930000                 -3.547600
41.128800               110.920000                 -3.739600
41.951400               106.940000                 -3.408100
42.774000               103.040000                 -3.581000
43.596500               98.817000                 -3.652100
44.419100               94.523000                 -3.570700
45.241700               90.540000                 -3.343400
46.064300               86.466000                 -3.746000
46.886900               82.259000                 -3.870500
47.709400               77.978000                 -3.593100
48.532000               73.766000                 -3.455600
49.354600               69.811000                 -3.270600
50.177200               65.694000                 -4.015300
50.999700               61.789000                 -3.695100
51.822300               57.750000                 -3.588600
52.644900               53.585000                 -3.517300
53.467500               49.574000                 -3.422100
54.290000               45.341000                 -3.370700
55.112600               41.099000                 -3.770600
55.935200               37.003000                 -3.714800
56.757800               32.937000                 -3.479000
57.580300               28.808000                 -3.399800
58.402900               24.892000                 -3.705200
59.225500               20.604000                 -3.728600
60.048100               16.427000                 -3.816600
60.870600               12.411000                 -3.555900
61.693200               8.285000                 -3.221200
62.515800               4.029400                 -3.277000
63.338400               0.025400                 -3.364300
64.161000               -4.267200                 -3.304600
64.983500               -8.365800                 -3.900700
65.806100               -12.423000                 -3.531800
66.628700               -16.616000                 -3.430700
67.451300               -20.537000                 -3.698600
68.273800               -24.633000                 -3.864100
69.096400               -28.866000                 -3.612500
69.919000               -32.948000                 -3.595800
70.741600               -37.098000                 -3.436700
71.564100               -41.012000                 -3.278800
72.386700               -45.205000                 -3.432000
73.209300               -49.440000                 -3.633200
74.031900               -53.529000                 -3.545600
74.854400               -57.522000                 -3.533300
75.677000               -61.694000                 -3.292300
76.499600               -65.786000                 -3.485300
77.322200               -69.806000                 -3.876900
78.144800               -73.826000                 -3.453100
78.967300               -77.606000                 -3.613200
