

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 314,22мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               311.820000                 -0.282330
1.645200               307.590000                 -0.507850
2.467700               303.460000                 -0.688120
3.290300               299.300000                 -0.910680
4.112900               295.010000                 -1.141100
4.935500               291.250000                 -1.326800
5.758000               286.990000                 -1.555000
6.580600               282.960000                 -1.712400
7.403200               278.940000                 -1.970900
8.225800               275.130000                 -2.166400
9.048300               270.960000                 -2.371000
9.870900               266.730000                 -2.650400
10.693500               262.650000                 -2.825300
11.516100               258.660000                 -2.783200
12.338600               254.720000                 -3.066500
13.161200               250.590000                 -3.164600
13.983800               246.560000                 -3.354500
14.806400               242.300000                 -3.554900
15.629000               238.340000                 -3.632900
16.451500               234.010000                 -3.812700
17.274100               229.490000                 -3.938600
18.096700               225.660000                 -3.713100
18.919300               221.820000                 -3.960500
19.741800               217.930000                 -4.205900
20.564400               213.470000                 -4.371700
21.387000               209.470000                 -4.273800
22.209600               205.330000                 -4.183800
23.032100               201.310000                 -4.056600
23.854700               197.090000                 -4.321700
24.677300               192.660000                 -4.389400
25.499900               188.530000                 -4.181100
26.322400               184.650000                 -4.284600
27.145000               180.650000                 -4.446400
27.967600               176.620000                 -4.570600
28.790200               172.270000                 -4.272300
29.612700               168.220000                 -4.420900
30.435300               164.130000                 -4.404400
31.257900               160.070000                 -4.450100
32.080500               155.650000                 -4.239900
32.903100               151.460000                 -4.149600
33.725600               147.410000                 -4.447400
34.548200               143.490000                 -4.519500
35.370800               139.540000                 -4.412300
36.193400               135.270000                 -4.501500
37.015900               131.090000                 -4.478900
37.838500               127.250000                 -4.373600
38.661100               122.970000                 -4.486500
39.483700               118.690000                 -4.459200
40.306200               114.710000                 -4.568200
41.128800               110.530000                 -4.622500
41.951400               106.690000                 -4.710800
42.774000               102.590000                 -4.490500
43.596500               98.400000                 -4.592800
44.419100               94.324000                 -4.595000
45.241700               90.232000                 -4.702500
46.064300               85.990000                 -4.583700
46.886900               81.848000                 -4.547300
47.709400               77.590000                 -4.551200
48.532000               73.339000                 -4.534700
49.354600               69.395000                 -4.511900
50.177200               65.576000                 -4.542800
50.999700               61.521000                 -4.165100
51.822300               57.194000                 -4.370900
52.644900               53.227000                 -4.319300
53.467500               49.043000                 -4.313200
54.290000               45.016000                 -4.211600
55.112600               40.887000                 -4.469300
55.935200               36.574000                 -4.514100
56.757800               32.588000                 -4.336300
57.580300               28.644000                 -4.281700
58.402900               24.442000                 -4.359400
59.225500               20.479000                 -4.744800
60.048100               16.267000                 -4.357700
60.870600               12.067000                 -4.418400
61.693200               7.991800                 -4.600600
62.515800               3.731500                 -4.503700
63.338400               -0.286330                 -4.389900
64.161000               -4.271800                 -4.660900
64.983500               -8.458200                 -4.411000
65.806100               -12.580000                 -4.528600
66.628700               -16.614000                 -4.564200
67.451300               -20.549000                 -4.481400
68.273800               -24.666000                 -4.575100
69.096400               -28.815000                 -4.629900
69.919000               -32.801000                 -4.304300
70.741600               -36.982000                 -4.539600
71.564100               -40.850000                 -4.542600
72.386700               -45.163000                 -4.557400
73.209300               -49.396000                 -4.697000
74.031900               -53.296000                 -4.365000
74.854400               -57.582000                 -4.794700
75.677000               -61.475000                 -4.791700
76.499600               -65.599000                 -4.482400
77.322200               -70.053000                 -4.741300
78.144800               -73.715000                 -4.412000
78.967300               -77.595000                 -4.705900
