 ,X,Y,Circ.,AR,Round,Solidity
1,472.833,827.500,0.000,0.000,0.000,NaN
2,552.500,863.500,0.000,0.000,0.000,NaN
3,624.500,889.500,0.000,0.000,0.000,NaN
4,698.500,909.500,0.000,0.000,0.000,NaN
5,777.000,923.000,0.000,0.000,0.000,NaN
6,856.000,931.000,0.000,0.000,0.000,NaN
7,937.500,931.500,0.000,0.000,0.000,NaN
8,1013.000,922.500,0.000,0.000,0.000,NaN
9,1083.000,905.000,0.000,0.000,0.000,NaN
10,1162.000,880.000,0.000,0.000,0.000,NaN
11,1242.500,837.500,0.000,0.000,0.000,NaN
