 ,X,Y,Circ.,AR,Round,Solidity
1,510.000,303.500,0.000,0.000,0.000,NaN
2,640.500,315.500,0.000,0.000,0.000,NaN
3,760.833,322.833,0.000,0.000,0.000,NaN
4,892.833,328.833,0.000,0.000,0.000,NaN
5,1038.500,331.500,0.000,0.000,0.000,NaN
6,1182.167,330.167,0.000,0.000,0.000,NaN
7,1326.833,324.167,0.000,0.000,0.000,NaN
8,1469.167,313.167,0.000,0.000,0.000,NaN
9,1607.500,301.000,0.000,0.000,0.000,NaN
