

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 279,35мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               276.790000                 -0.198960
1.645200               272.720000                 -0.317010
2.467700               268.570000                 -0.409970
3.290300               264.290000                 -0.499980
4.112900               260.160000                 -0.571300
4.935500               256.150000                 -0.648030
5.758000               251.950000                 -0.743450
6.580600               248.040000                 -0.766570
7.403200               243.830000                 -0.828300
8.225800               239.790000                 -0.890760
9.048300               235.810000                 -0.906750
9.870900               231.590000                 -0.913390
10.693500               227.220000                 -1.007800
11.516100               223.360000                 -0.985200
12.338600               219.140000                 -1.024100
13.161200               215.160000                 -1.013500
13.983800               211.080000                 -1.031200
14.806400               207.010000                 -1.030200
15.629000               203.040000                 -1.029700
16.451500               198.930000                 -1.010800
17.274100               194.840000                 -1.034100
18.096700               190.590000                 -1.098600
18.919300               186.450000                 -1.068100
19.741800               182.570000                 -1.038600
20.564400               178.530000                 -1.047400
21.387000               174.510000                 -1.017200
22.209600               170.330000                 -1.043500
23.032100               166.380000                 -1.061400
23.854700               162.350000                 -1.025300
24.677300               158.160000                 -1.015700
25.499900               153.650000                 -1.066100
26.322400               149.400000                 -1.154900
27.145000               145.460000                 -1.154200
27.967600               141.170000                 -1.132000
28.790200               137.380000                 -1.048400
29.612700               133.070000                 -1.070000
30.435300               128.920000                 -1.059000
31.257900               125.020000                 -1.079200
32.080500               120.970000                 -1.026500
32.903100               116.990000                 -1.004100
33.725600               112.670000                 -1.043200
34.548200               108.460000                 -1.058200
35.370800               104.560000                 -1.031700
36.193400               100.570000                 -1.078200
37.015900               96.398000                 -1.052800
37.838500               92.352000                 -1.049900
38.661100               88.297000                 -1.026000
39.483700               84.155000                 -1.013000
40.306200               80.098000                 -1.044700
41.128800               75.715000                 -1.013500
41.951400               71.321000                 -1.096600
42.774000               67.612000                 -1.092200
43.596500               63.521000                 -1.040300
44.419100               59.595000                 -1.036900
45.241700               55.213000                 -1.019100
46.064300               51.283000                 -1.018200
46.886900               47.348000                 -1.050100
47.709400               43.325000                 -0.961100
48.532000               39.167000                 -1.045200
49.354600               34.738000                 -1.018400
50.177200               30.822000                 -1.048400
50.999700               26.716000                 -0.988150
51.822300               22.668000                 -1.005400
52.644900               18.507000                 -1.002400
53.467500               14.499000                 -1.019900
54.290000               10.347000                 -1.011800
55.112600               6.158400                 -1.055300
55.935200               2.316000                 -1.041300
56.757800               -1.849600                 -1.109200
57.580300               -6.269200                 -1.058700
58.402900               -10.386000                 -1.025800
59.225500               -14.665000                 -1.035600
60.048100               -18.614000                 -1.056300
60.870600               -22.634000                 -1.001900
61.693200               -26.762000                 -1.031700
62.515800               -30.951000                 -1.089200
63.338400               -35.033000                 -1.078200
64.161000               -39.167000                 -1.074700
64.983500               -43.078000                 -1.041300
65.806100               -47.290000                 -1.044200
66.628700               -51.520000                 -1.058500
67.451300               -55.598000                 -1.055500
68.273800               -59.681000                 -1.050900
69.096400               -63.699000                 -1.070000
69.919000               -67.933000                 -1.038100
70.741600               -71.942000                 -1.049900
71.564100               -75.962000                 -1.051400
72.386700               -79.913000                 -1.042300
73.209300               -84.012000                 -1.028700
74.031900               -88.360000                 -1.051400
74.854400               -92.560000                 -1.084800
75.677000               -96.555000                 -1.083100
76.499600               -100.750000                 -1.088500
77.322200               -104.750000                 -1.056500
78.144800               -109.110000                 -1.105000
78.967300               -112.960000                 -1.058700
