

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 279,1мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               276.370000                 -0.224540
1.645200               272.340000                 -0.341110
2.467700               268.280000                 -0.441690
3.290300               264.210000                 -0.511780
4.112900               259.940000                 -0.617040
4.935500               255.860000                 -0.662790
5.758000               251.790000                 -0.739020
6.580600               247.690000                 -0.778870
7.403200               243.660000                 -0.844040
8.225800               239.610000                 -0.888800
9.048300               235.520000                 -0.946100
9.870900               231.410000                 -0.945610
10.693500               227.150000                 -1.051600
11.516100               223.010000                 -1.118700
12.338600               218.970000                 -1.094600
13.161200               214.960000                 -1.100300
13.983800               210.810000                 -1.141600
14.806400               206.930000                 -1.139900
15.629000               202.750000                 -1.066100
16.451500               198.750000                 -1.092900
17.274100               194.820000                 -1.082800
18.096700               190.510000                 -1.133500
18.919300               186.390000                 -1.170900
19.741800               182.240000                 -1.098100
20.564400               178.360000                 -1.145800
21.387000               174.260000                 -1.147500
22.209600               170.100000                 -1.143600
23.032100               166.270000                 -1.140100
23.854700               162.130000                 -1.118700
24.677300               157.810000                 -1.121200
25.499900               153.640000                 -1.172800
26.322400               149.120000                 -1.221000
27.145000               145.050000                 -1.202800
27.967600               141.010000                 -1.182700
28.790200               137.070000                 -1.174600
29.612700               132.920000                 -1.185900
30.435300               128.870000                 -1.217600
31.257900               124.810000                 -1.185900
32.080500               120.790000                 -1.199200
32.903100               116.590000                 -1.203800
33.725600               112.280000                 -1.178700
34.548200               108.410000                 -1.122700
35.370800               104.440000                 -1.125600
36.193400               100.290000                 -1.152900
37.015900               96.257000                 -1.089500
37.838500               92.140000                 -1.150500
38.661100               88.140000                 -1.102800
39.483700               84.113000                 -1.118200
40.306200               79.846000                 -1.179700
41.128800               75.489000                 -1.080400
41.951400               71.453000                 -1.175800
42.774000               67.275000                 -1.154600
43.596500               63.271000                 -1.149000
44.419100               59.431000                 -1.096600
45.241700               55.171000                 -1.131500
46.064300               51.183000                 -1.084100
46.886900               47.022000                 -1.131800
47.709400               43.085000                 -1.088000
48.532000               38.737000                 -1.154400
49.354600               34.362000                 -1.139200
50.177200               30.734000                 -1.139400
50.999700               26.645000                 -1.076200
51.822300               22.551000                 -1.159300
52.644900               18.343000                 -1.138200
53.467500               14.342000                 -1.109600
54.290000               10.239000                 -1.134000
55.112600               5.966700                 -1.120200
55.935200               1.990400                 -1.092700
56.757800               -2.140500                 -1.128300
57.580300               -6.541600                 -1.104000
58.402900               -10.689000                 -1.165200
59.225500               -14.753000                 -1.190500
60.048100               -18.877000                 -1.140900
60.870600               -23.019000                 -1.199200
61.693200               -27.143000                 -1.149200
62.515800               -31.214000                 -1.163500
63.338400               -35.271000                 -1.152400
64.161000               -39.354000                 -1.170600
64.983500               -43.314000                 -1.122400
65.806100               -47.507000                 -1.159800
66.628700               -51.537000                 -1.116300
67.451300               -55.739000                 -1.174600
68.273800               -59.792000                 -1.181000
69.096400               -64.165000                 -1.255200
69.919000               -68.185000                 -1.223800
70.741600               -72.291000                 -1.250100
71.564100               -76.212000                 -1.133500
72.386700               -80.121000                 -1.147500
73.209300               -84.284000                 -1.209500
74.031900               -88.591000                 -1.212000
74.854400               -92.920000                 -1.192500
75.677000               -96.767000                 -1.129100
76.499600               -101.120000                 -1.213200
77.322200               -104.990000                 -1.222300
78.144800               -109.240000                 -1.213900
78.967300               -113.390000                 -1.181200
