

Цикл № 1
Шаг  № 1
Точек  96
Линейная потенцио. развертка , ЭДС 279,6мВ, Скорость развертки 5,0013 мВ/с.
Время, с.              Потенциал, мВ            Ток, мкА
0.822600               277.020000                 -0.214450
1.645200               272.780000                 -0.362990
2.467700               268.730000                 -0.454730
3.290300               264.490000                 -0.563920
4.112900               260.380000                 -0.633270
4.935500               256.160000                 -0.781570
5.758000               252.160000                 -0.818710
6.580600               248.140000                 -0.880680
7.403200               244.100000                 -0.951750
8.225800               240.220000                 -1.007600
9.048300               236.220000                 -1.017900
9.870900               231.940000                 -1.058700
10.693500               227.670000                 -1.174100
11.516100               223.660000                 -1.175800
12.338600               219.580000                 -1.192300
13.161200               215.590000                 -1.192500
13.983800               211.340000                 -1.242900
14.806400               207.470000                 -1.242500
15.629000               203.570000                 -1.228700
16.451500               199.290000                 -1.319900
17.274100               195.170000                 -1.341300
18.096700               190.810000                 -1.332500
18.919300               186.980000                 -1.398100
19.741800               183.060000                 -1.368100
20.564400               179.060000                 -1.332000
21.387000               174.760000                 -1.280600
22.209600               170.640000                 -1.272200
23.032100               166.640000                 -1.322600
23.854700               162.660000                 -1.267500
24.677300               158.510000                 -1.355100
25.499900               154.100000                 -1.344300
26.322400               149.720000                 -1.375700
27.145000               145.700000                 -1.340300
27.967600               141.680000                 -1.392700
28.790200               137.730000                 -1.393900
29.612700               133.420000                 -1.338600
30.435300               129.440000                 -1.333000
31.257900               125.340000                 -1.308400
32.080500               121.440000                 -1.395200
32.903100               117.340000                 -1.373000
33.725600               113.160000                 -1.304900
34.548200               108.880000                 -1.363900
35.370800               105.100000                 -1.371800
36.193400               100.840000                 -1.307900
37.015900               96.755000                 -1.292600
37.838500               92.800000                 -1.284200
38.661100               88.701000                 -1.263800
39.483700               84.497000                 -1.260400
40.306200               80.398000                 -1.291400
41.128800               76.038000                 -1.455200
41.951400               71.822000                 -1.399600
42.774000               67.855000                 -1.330700
43.596500               63.798000                 -1.330700
44.419100               59.992000                 -1.272700
45.241700               55.582000                 -1.294100
46.064300               51.714000                 -1.317500
46.886900               47.611000                 -1.267500
47.709400               43.580000                 -1.292600
48.532000               39.377000                 -1.363200
49.354600               34.976000                 -1.329700
50.177200               31.154000                 -1.353600
50.999700               27.079000                 -1.325800
51.822300               22.862000                 -1.281500
52.644900               19.013000                 -1.246400
53.467500               14.723000                 -1.266800
54.290000               10.631000                 -1.243400
55.112600               6.504700                 -1.288400
55.935200               2.318300                 -1.311500
56.757800               -1.743400                 -1.303400
57.580300               -5.987500                 -1.332500
58.402900               -10.218000                 -1.300700
59.225500               -14.249000                 -1.354600
60.048100               -18.447000                 -1.329300
60.870600               -22.412000                 -1.347500
61.693200               -26.409000                 -1.297500
62.515800               -30.711000                 -1.309300
63.338400               -34.680000                 -1.311500
64.161000               -38.843000                 -1.306900
64.983500               -42.801000                 -1.318200
65.806100               -47.052000                 -1.365200
66.628700               -51.375000                 -1.382400
67.451300               -55.404000                 -1.377500
68.273800               -59.445000                 -1.399100
69.096400               -63.447000                 -1.372800
69.919000               -67.751000                 -1.378000
70.741600               -71.653000                 -1.373300
71.564100               -75.565000                 -1.346200
72.386700               -79.587000                 -1.327100
73.209300               -83.788000                 -1.351600
74.031900               -88.013000                 -1.439700
74.854400               -92.260000                 -1.399400
75.677000               -96.374000                 -1.344500
76.499600               -100.400000                 -1.320400
77.322200               -104.460000                 -1.305400
78.144800               -108.590000                 -1.386300
78.967300               -112.780000                 -1.343500
